product_id,name,description,category,brand,price
66812,Laptop Asus VivoBook 15 OLED A1505VA-L1114W - Cũ Trầy Xước,,Hàng cũ,ASUS,20990000.0
81678,Nubia Neo 2 - Đã Kích Hoạt,,Hàng cũ,Hãng khác,4990000.0
67783,Samsung Galaxy S23 Ultra 12GB 1TB - Cũ Đẹp,,Hàng cũ,Samsung,44990000.0
68370,Robot hút bụi lau nhà Dreame L10 Ultra,,Nhà thông minh,,16490000.0
91698,Tai nghe Bluetooth True Wireless Beats Solo Buds - Chính Hãng Đã Kích Hoạt,,Hàng cũ,,1990000.0
106145,Bao da Apple iPad Air 11 (M2/M3)/Air 5/Air 10.9/Pro 11 Esr Flip Hybrid Pencil Holder,,Phụ kiện,,890000
106704,Loa vi tính Havit HV-SK518,,Âm thanh,,320000
64085,Đồng hồ thông minh trẻ em Myalo KidsPhone K84 - Cũ Trầy Xước,,Hàng cũ,,2990000.0
112433,Máy tính bảng HONOR Pad X9a WiFi 8GB 256GB - Cũ Đẹp,,Hàng cũ,Hãng khác,0
95311,Microphone thu âm không dây Boya BY-V1 V2.0,,Âm thanh,,750000
109857,Giá treo tivi di động GL 32-75 inch (G1700-1P),,Tivi,,990000
109838,Robot hút bụi Eufy Omni E28,,Nhà thông minh,,19990000.0
83822,Máy tăm nước Enchen Mint  3,,Nhà thông minh,,599000
107633,Ốp lưng Samsung Galaxy S25 Ultra UAG chống sốc Plasma Xte With Magsafe,,Phụ kiện,,1800000.0
101109,Máy massage cầm tay Philips PPM7308,,Nhà thông minh,,2490000.0
113891,TECNO Spark Go 2 4GB 64GB - Đã Kích Hoạt,"Điện thoại Tecno Spark Go 2 sở hữu chip Unisoc T7250, RAM 4GB, bộ nhớ trong 64GB và có thể mở rộng dung lượng nhờ khe cắm thẻ nhớ microSDXC tiện lợi. Máy trang bị màn hình 6.67 inch, độ phân giải HD+ và tần số quét 120Hz cho trải nghiệm mượt mà. Camera chính 13MP kèm đèn flash LED kép, với camera trước 8MP đáp ứng nhu cầu chụp ảnh. ",Hàng cũ,Tecno,0
87187,Máy tăm nước Halio Ultraclean Express Hydro Floss,,Nhà thông minh,,1600000.0
107726,Quạt cầm tay Jisulife Life 9 5000mAh,,Phụ kiện,,660000
